"EmployeeID","DisplayName","Department","JobTitle","Role","Status"
"MI-0019",,"Engineering","Software Engineer","Global Reader","Assigned"
"MI-0018",,"Engineering","Software Engineer","Global Reader","Assigned"
"MI-0017",,"Security Operations","SOC Manager","Global Reader","Assigned"
"MI-0016",,"Engineering","Software Engineer","Global Reader","Assigned"
"MI-0015",,"Engineering","Software Engineer","Global Reader","Assigned"
"MI-0013",,"Engineering","Software Engineer","Global Reader","Assigned"
"MI-0014",,"Engineering","DevOps Engineer","Global Reader","Assigned"
"MI-0012",,"Engineering","DevOps Engineer","Global Reader","Assigned"
"MI-0011",,"Engineering","Software Engineer","Global Reader","Assigned"
"MI-0001",,"HR","HR Manager","User Administrator","Assigned"
